sp	ssp	fi	en
Picoides tridactylus	Picoides tridactylus 	pohjantikka	Three-toed Woodpecker
Picus canus	Picus canus 	harmaapäätikka	Grey-headed Woodpecker
Picus viridis	Picus viridis 	vihertikka	Green Woodpecker
Pinicola enucleator	Pinicola enucleator 	taviokuurna	Pine Grosbeak
Platalea leucorodia	Platalea leucorodia leucorodia 	kapustahaikara	Eurasian Spoonbill
Plectrophenax nivalis	Plectrophenax nivalis 	pulmunen	Snow Bunting
Plegadis falcinellus	Plegadis falcinellus falcinellus 	pronssi-iibis	Glossy Ibis
Pluvialis apricaria	Pluvialis apricaria 	kapustarinta	Eurasian Golden Plover
Pluvialis squatarola	Pluvialis squatarola 	tundrakurmitsa	Grey Plover/Black-bellied Plover
Podiceps auritus	Podiceps auritus auritus 	mustakurkku-uikku	Slavonian Grebe/Horned Grebe
Podiceps cristatus	Podiceps cristatus cristatus 	silkkiuikku	Great Crested Grebe
Podiceps grisegena	Podiceps grisegena grisegena 	härkälintu	Red-necked Grebe
Podiceps nigricollis	Podiceps nigricollis nigricollis 	mustakaulauikku	Black-necked Grebe/Eared Grebe
Polysticta stelleri	Polysticta stelleri 	allihaahka	Steller’s Eider
Porphyrio porphyrio	Porphyrio porphyrio poliocephalus 	sulttaanikana	Purple Swamphen
Porphyrio porphyrio	Porphyrio porphyrio porphyrio 	sulttaanikana	Purple Swamphen
Porzana parva	Porzana parva parva 	pikkuhuitti	Little Crake
Porzana porzana	Porzana porzana 	luhtahuitti	Spotted Crake
Porzana pusilla	Porzana pusilla intermedia 	kääpiöhuitti	Baillon’s Crake
Prunella collaris	Prunella collaris 	alppirautiainen	Alpine Accentor
Prunella modularis	Prunella modularis 	rautiainen	Dunnock
Psittacula krameri	Psittacula krameri 	kauluskaija	Rose-ringed Parakeet
Pterocles alchata	Pterocles alchata 	jouhihietakyyhky	Pin-tailed Sandgrouse
Pterocles orientalis	Pterocles orientalis 	hietakyyhky	Black-bellied Sandgrouse
Puffinus mauretanicus	Puffinus mauretanicus 	baleaarienliitäjä	Balearic Shearwater
Puffinus puffinus	Puffinus puffinus 	pikkuliitäjä	Manx Shearwater
Puffinus yelkouan	Puffinus yelkouan 	idänpikkuliitäjä	Yelkouan Shearwater
Pyrrhocorax graculus	Pyrrhocorax graculus 	alppinaakka	Alpine/Yellow-billed Chough
Pyrrhocorax pyrrhocorax	Pyrrhocorax pyrrhocorax 	alppivaris	Red-billed Chough
Pyrrhula pyrrhula	Pyrrhula pyrrhula 	punatulkku	Eurasian Bullfinch
Rallus aquaticus	Rallus aquaticus aquaticus 	luhtakana	Water Rail
Recurvirostra avosetta	Recurvirostra avosetta 	avosetti	Pied Avocet
Regulus regulus	Regulus regulus 	hippiäinen	Goldcrest
Remiz pendulinus	Remiz pendulinus 	pussitiainen	Penduline Tit
Riparia riparia	Riparia riparia 	törmäpääsky	Collared Sand Martin/Bank Swallow
Rissa tridactyla	Rissa tridactyla 	pikkukajava	Black-legged Kittiwake
Saxicola rubetra	Saxicola rubetra 	pensastasku	Whinchat
Saxicola torquatus	Saxicola torquatus 	mustapäätasku	Common Stonechat
Scolopax rusticola	Scolopax rusticola 	lehtokurppa	Eurasian Woodcock
Serinus serinus	Serinus serinus 	keltahemppo	European Serin
Sitta europaea	Sitta europaea 	pähkinänakkeli	Eurasian Nuthatch
Sitta neumayer	Sitta neumayer 	kallionakkeli	Western Rock Nuthatch
Somateria mollissima	Somateria mollissima 	haahka	Common Eider
Stercorarius longicaudus	Stercorarius longicaudus 	tunturikihu	Long-tailed Jaeger
Stercorarius parasiticus	Stercorarius parasiticus 	merikihu	Parasitic Jaeger/Arctic Skua
Sterna albifrons	Sterna albifrons albifrons 	pikkutiira	Little Tern
Sterna caspia	Sterna caspia caspia 	räyskä	Caspian Tern
Sterna dougallii	Sterna dougallii dougallii 	ruusutiira	Roseate Tern
Sterna hirundo	Sterna hirundo 	kalatiira	Common Tern
Sterna nilotica	Sterna nilotica nilotica 	hietatiira	Gull-billed Tern
Sterna paradisaea	Sterna paradisaea 	lapintiira	Arctic Tern
Sterna sandvicensis	Sterna sandvicensis 	riuttatiira	Sandwich Tern
Streptopelia decaocto	Streptopelia decaocto 	turkinkyyhky	Eurasian Collared Dove
Streptopelia senegalensis	Streptopelia senegalensis 	palmukyyhky	Laughing Dove
Streptopelia turtur	Streptopelia turtur 	turturikyyhky	European Turtle Dove
Strix aluco	Strix aluco 	lehtopöllö	Tawny Owl
Strix nebulosa	Strix nebulosa 	lapinpöllö	Great Grey Owl
Strix uralensis	Strix uralensis 	viirupöllö	Ural Owl
Sturnus roseus	Sturnus roseus 	punakottarainen	Rosy Starling
Sturnus unicolor	Sturnus unicolor 	mustakottarainen	Spotless Starling
Sturnus vulgaris	Sturnus vulgaris 	kottarainen	European Starling
Surnia ulula	Surnia ulula 	hiiripöllö	Northern Hawk-Owl
Sylvia atricapilla	Sylvia atricapilla 	mustapääkerttu	Blackcap
Sylvia borin	Sylvia borin 	lehtokerttu	Garden Warbler
Sylvia cantillans	Sylvia cantillans all others 	rusorintakerttu	Subalpine Warbler
Sylvia cantillans	Sylvia cantillans moltonii 	rusorintakerttu	Subalpine Warbler
Sylvia communis	Sylvia communis 	pensaskerttu	Greater Whitethroat
Sylvia conspicillata	Sylvia conspicillata 	pikkupensaskerttu	Spectacled Warbler
Sylvia curruca	Sylvia curruca 	hernekerttu	Lesser Whitethroat
Sylvia hortensis	Sylvia hortensis 	lännenorfeuskerttu	Western Orphean Warbler
Sylvia melanocephala	Sylvia melanocephala 	samettipääkerttu	Sardinian Warbler
Sylvia melanothorax	Sylvia melanothorax 	kyproksenkerttu	Cyprus Warbler
Sylvia nisoria	Sylvia nisoria 	kirjokerttu	Barred Warbler
Sylvia sarda	Sylvia sarda 	sardiniankerttu	Marmora’s Warbler
Sylvia undata	Sylvia undata all others 	ruskokerttu	Dartford Warbler
Sylvia undata	Sylvia undata dartfordiensis 	ruskokerttu	Dartford Warbler
Syrmaticus reevesii	Syrmaticus reevesii 	kuningasfasaani	Reeves’s Pheasant
Tachybaptus ruficollis	Tachybaptus ruficollis ruficollis 	pikku-uikku	Little Grebe
Tachymarptis melba	Tachymarptis melba 	alppikiitäjä	Alpine Swift
Tadorna ferruginea	Tadorna ferruginea 	ruostesorsa	Ruddy Shelduck
Tadorna tadorna	Tadorna tadorna 	ristisorsa	Common Shelduck
Tetrao urogallus	Tetrao urogallus all others 	metso	Western Capercaillie
Tetrao urogallus	Tetrao urogallus aquitanicus 	metso	Western Capercaillie
Tetrao urogallus	Tetrao urogallus cantabricus 	metso	Western Capercaillie
Tetrax tetrax	Tetrax tetrax tetrax 	pikkutrappi	Little Bustard
Threskiornis aethiopicus	Threskiornis aethiopicus 	pyhäiibis	Sacred Ibis
Tichodroma muraria	Tichodroma muraria 	kalliokiipijä	Wallcreeper
Tringa erythropus	Tringa erythropus 	mustaviklo	Spotted Redshank
Tringa glareola	Tringa glareola 	liro	Wood Sandpiper
Tringa nebularia	Tringa nebularia 	valkoviklo	Common Greenshank
Tringa ochropus	Tringa ochropus 	metsäviklo	Green Sandpiper
Tringa stagnatilis	Tringa stagnatilis 	lampiviklo	Marsh Sandpiper
Tringa totanus	Tringa totanus 	punajalkaviklo	Common Redshank
Troglodytes troglodytes	Troglodytes troglodytes all others 	peukaloinen	Winter Wren
Troglodytes troglodytes	Troglodytes troglodytes fridariensis 	peukaloinen	Winter Wren
Turdus iliacus	Turdus iliacus 	punakylkirastas	Redwing
Turdus merula	Turdus merula 	mustarastas	Eurasian Blackbird
Turdus philomelos	Turdus philomelos 	laulurastas	Song Thrush
Turdus pilaris	Turdus pilaris 	räkättirastas	Fieldfare
Turdus torquatus	Turdus torquatus 	sepelrastas	Ring Ouzel
Turdus viscivorus	Turdus viscivorus 	kulorastas	Mistle Thrush
Turnix sylvaticus	Turnix sylvaticus 	viiriäispyyjuoksija	Common Buttonquail
Tyto alba	Tyto alba 	tornipöllö	Barn Owl
Upupa epops	Upupa epops 	harjalintu	Common Hoopoe
Uria aalge	Uria aalge aalge 	etelänkiisla	Guillemot/Common Murre
Uria aalge	Uria aalge albionis 	etelänkiisla	Guillemot/Common Murre
Uria aalge	Uria aalge ibericus 	etelänkiisla	Guillemot/Common Murre
Vanellus leucurus	Vanellus leucurus 	suohyyppä	White-tailed Plover
Vanellus spinosus	Vanellus spinosus 	kynsihyyppä	Spur-winged Plover
Vanellus vanellus	Vanellus vanellus 	töyhtöhyyppä	Northern Lapwing
Xenus cinereus	Xenus cinereus 	rantakurvi	Terek Sandpiper
