sp	ssp	fi	en
Burhinus oedicnemus	Burhinus oedicnemus 	paksujalka	Eurasian Stone Curlew
Buteo buteo	Buteo buteo 	hiirihaukka	Eurasian Buzzard
Buteo jamaicensis	Buteo jamaicensis 	amerikanhiirihaukka	Red-tailed Hawk
Buteo lagopus	Buteo lagopus 	piekana	Rough-legged Buzzard
Buteo rufinus	Buteo rufinus 	arohiirihaukka	Long-legged Buzzard
Cairina moschata	Cairina moschata 	myskisorsa	Muscovy Duck
Calandrella brachydactyla	Calandrella brachydactyla 	lyhytvarvaskiuru	Greater Short-toed Lark
Calandrella rufescens	Calandrella rufescens 	pikkukiuru	Lesser Short-toed Lark
Calcarius lapponicus	Calcarius lapponicus 	lapinsirkku	Lapland Longspur
Calidris alba	Calidris alba 	pulmussirri	Sanderling
Calidris alpina	Calidris alpina 	suosirri	Dunlin
Calidris alpina	Calidris alpina alpina 	suosirri	Dunlin
Calidris alpina	Calidris alpina schinzii 	suosirri	Dunlin
Calidris canutus	Calidris canutus 	isosirri	Red Knot
Calidris ferruginea	Calidris ferruginea 	kuovisirri	Curlew Sandpiper
Calidris maritima	Calidris maritima maritima 	merisirri	Purple Sandpiper
Calidris minuta	Calidris minuta 	pikkusirri	Little Stint
Calidris temminckii	Calidris temminckii 	lapinsirri	Temminck’s Stint
Calonectris diomedea	Calonectris diomedea 	keltanokkaliitäjä	Cory’s Shearwater
Caprimulgus europaeus	Caprimulgus europaeus 	kehrääjä	European Nightjar
Caprimulgus ruficollis	Caprimulgus ruficollis 	ruosteniskakehrääjä	Red-necked Nightjar
Carduelis cannabina	Carduelis cannabina 	hemppo	Common Linnet
Carduelis carduelis	Carduelis carduelis 	tikli	European Goldfinch
Carduelis chloris	Carduelis chloris 	viherpeippo	European Greenfinch
Carduelis citrinella	Carduelis citrinella 	sitruunahemppo	Citril Finch
Carduelis flammea	Carduelis flammea 	urpiainen	Common Redpoll
Carduelis flavirostris	Carduelis flavirostris 	vuorihemppo	Twite
Carduelis hornemanni	Carduelis hornemanni 	tundraurpiainen	Hoary Redpoll
Carduelis spinus	Carduelis spinus 	vihervarpunen	Eurasian Siskin
Carpodacus erythrinus	Carpodacus erythrinus 	punavarpunen	Common Rosefinch
Cepphus grylle	Cepphus grylle 	riskilä	Black Guillemot
Certhia brachydactyla	Certhia brachydactyla all others 	etelänpuukiipijä	Short-toed Treecreeper
Certhia brachydactyla	Certhia brachydactyla dorotheae 	etelänpuukiipijä	Short-toed Treecreeper
Certhia familiaris	Certhia familiaris 	puukiipijä	Eurasian Treecreeper
Cettia cetti	Cettia cetti 	silkkikerttunen	Cetti’s Warbler
Charadrius alexandrinus	Charadrius alexandrinus alexandrinus 	mustajalkatylli	Kentish Plover
Charadrius dubius	Charadrius dubius curonicus 	pikkutylli	Little Ringed Plover
Charadrius hiaticula	Charadrius hiaticula 	tylli	Common Ringed Plover
Charadrius leschenaultii	Charadrius leschenaultii columbinus 	aavikkotylli	Greater Sand Plover
Chersophilus duponti	Chersophilus duponti 	kaitanokkakiuru	DuPont’s Lark
Chlidonias hybrida	Chlidonias hybrida 	valkoposkitiira	Whiskered Tern
Chlidonias leucopterus	Chlidonias leucopterus 	valkosiipitiira	White-winged Black Tern
Chlidonias niger	Chlidonias niger 	mustatiira	Black Tern
Chrysolophus amherstiae	Chrysolophus amherstiae 	platinafasaani	Lady Amherst’s Pheasant
Chrysolophus pictus	Chrysolophus pictus 	kultafasaani	Golden Pheasant
Ciconia ciconia	Ciconia ciconia ciconia 	kattohaikara	European White Stork
Ciconia nigra	Ciconia nigra 	mustahaikara	Black Stork
Cinclus cinclus	Cinclus cinclus 	koskikara	White-throated Dipper
Circaetus gallicus	Circaetus gallicus 	käärmekotka	Short-toed Eagle
Circus aeruginosus	Circus aeruginosus 	ruskosuohaukka	Western Marsh Harrier
Circus cyaneus	Circus cyaneus 	sinisuohaukka	Northern Harrier/Hen Harrier
Circus macrourus	Circus macrourus 	arosuohaukka	Pallid Harrier
Circus pygargus	Circus pygargus 	niittysuohaukka	Montagu’s Harrier
Cisticola juncidis	Cisticola juncidis 	heinäkerttu	Fan-tailed/Zitting Cisticola
Clamator glandarius	Clamator glandarius 	harakkakäki	Great Spotted Cuckoo
Clangula hyemalis	Clangula hyemalis 	alli	Long-tailed Duck/Oldsquaw
Coccothraustes coccothraustes	Coccothraustes coccothraustes 	nokkavarpunen	Hawfinch
Colinus virginianus	Colinus virginianus 	peltoviiriäinen	Northern Bobwhite
Columba livia	Columba livia 	kalliokyyhky (kesykyyhky)	Rock Dove/Feral Pigeon
Columba oenas	Columba oenas 	uuttukyyhky	Stock Dove
Columba palumbus	Columba palumbus palumbus 	sepelkyyhky	Woodpigeon
Coracias garrulus	Coracias garrulus 	sininärhi	European Roller
Corvus corax	Corvus corax 	korppi	Common Raven
Corvus corone	Corvus corone cornix 	varis	Carrion Crow
Corvus corone	Corvus corone corone 	varis	Carrion Crow
Corvus frugilegus	Corvus frugilegus 	mustavaris	Rook
Corvus monedula	Corvus monedula 	naakka	Eurasian Jackdaw
Coturnix coturnix	Coturnix coturnix 	viiriäinen	Common Quail
Crex crex	Crex crex 	ruisrääkkä	Corncrake
Cuculus canorus	Cuculus canorus 	käki	Common Cuckoo
Cyanopica cyanus	Cyanopica cyanus 	siniharakka	Azure-winged Magpie
Cygnus atratus	Cygnus atratus 	mustajoutsen	Black Swan
Cygnus columbianus	Cygnus columbianus bewickii 	pikkujoutsen	Tundra Swan
Cygnus cygnus	Cygnus cygnus 	laulujoutsen	Whooper Swan
Cygnus olor	Cygnus olor 	kyhmyjoutsen	Mute Swan
Delichon urbicum	Delichon urbicum 	räystäspääsky	Northern House Martin
Dendrocopos leucotos	Dendrocopos leucotos 	valkoselkätikka	White-backed Woodpecker
Dendrocopos major	Dendrocopos major all others 	käpytikka	Great Spotted Woodpecker
Dendrocopos medius	Dendrocopos medius 	tammitikka	Middle-spotted Woodpecker
Dendrocopos minor	Dendrocopos minor 	pikkutikka	Lesser Spotted Woodpecker
Dendrocopos syriacus	Dendrocopos syriacus 	syyriantikka	Syrian Woodpecker
Dryocopus martius	Dryocopus martius 	palokärki	Black Woodpecker
Egretta garzetta	Egretta garzetta garzetta 	silkkihaikara	Little Egret
Elanus caeruleus	Elanus caeruleus 	liitohaukka	Black-winged Kite
Emberiza aureola	Emberiza aureola 	kultasirkku	Yellow-breasted Bunting
Emberiza caesia	Emberiza caesia 	ruostekurkkusirkku	Cretzschmar’s Bunting
Emberiza cia	Emberiza cia 	vuorisirkku	Western Rock Bunting
Emberiza cirlus	Emberiza cirlus 	pensassirkku	Cirl Bunting
Emberiza citrinella	Emberiza citrinella 	keltasirkku	Yellowhammer
Emberiza hortulana	Emberiza hortulana 	peltosirkku	Ortolan Bunting
Emberiza melanocephala	Emberiza melanocephala 	mustapääsirkku	Black-headed Bunting
Emberiza pusilla	Emberiza pusilla 	pikkusirkku	Little Bunting
Emberiza rustica	Emberiza rustica 	pohjansirkku	Rustic Bunting
Emberiza schoeniclus	Emberiza schoeniclus 	pajusirkku	Reed Bunting
Eremophila alpestris	Eremophila alpestris 	tunturikiuru	Horned Lark/Shorelark
Erithacus rubecula	Erithacus rubecula 	punarinta	European Robin
Falco biarmicus	Falco biarmicus 	keltapäähaukka	Lanner Falcon
Falco cherrug	Falco cherrug 	aavikkohaukka	Saker Falcon
Falco columbarius	Falco columbarius 	ampuhaukka	Merlin
Falco eleonorae	Falco eleonorae 	välimerenhaukka	Eleonora’s Falcon
Falco naumanni	Falco naumanni 	pikkutuulihaukka	Lesser Kestrel
Falco peregrinus	Falco peregrinus all others 	muuttohaukka	Peregrine Falcon
Falco peregrinus	Falco peregrinus brookei 	muuttohaukka	Peregrine Falcon
Falco peregrinus	Falco peregrinus peregrinus 	muuttohaukka	Peregrine Falcon
Falco rusticolus	Falco rusticolus 	tunturihaukka	Gyrfalcon
Falco subbuteo	Falco subbuteo 	nuolihaukka	Eurasian Hobby
Falco tinnunculus	Falco tinnunculus 	tuulihaukka	Common Kestrel
Falco vespertinus	Falco vespertinus 	punajalkahaukka	Red-footed Falcon
Ficedula albicollis	Ficedula albicollis 	sepelsieppo	Collared Flycatcher
Ficedula hypoleuca	Ficedula hypoleuca 	kirjosieppo	Pied Flycatcher
Ficedula parva	Ficedula parva 	pikkusieppo	Red-breasted Flycatcher
Ficedula semitorquata	Ficedula semitorquata 	balkaninsieppo	Semi-collared Flycatcher
Francolinus erckelii	Francolinus erckelii 	sudaninfrankoliini	Erckel’s Francolin
Francolinus francolinus	Francolinus francolinus asiae 	mustafrankoliini	Black Francolin
Francolinus francolinus	Francolinus francolinus francolinus 	mustafrankoliini	Black Francolin
Fratercula arctica	Fratercula arctica 	lunni	Atlantic Puffin
Fringilla coelebs	Fringilla coelebs all others 	peippo	Chaffinch
Fringilla montifringilla	Fringilla montifringilla 	järripeippo	Brambling
Fulica atra	Fulica atra atra 	nokikana	Common Coot
Fulica cristata	Fulica cristata 	kruununokikana	Red-knobbed Coot
Fulmarus glacialis	Fulmarus glacialis 	myrskylintu	Northern Fulmar
Galerida cristata	Galerida cristata 	töyhtökiuru	Crested Lark
Galerida theklae	Galerida theklae 	kivikkotöyhtökiuru	Thekla Lark
Gallinago gallinago	Gallinago gallinago 	taivaanvuohi	Common Snipe
Gallinago media	Gallinago media 	heinäkurppa	Great Snipe
Gallinula chloropus	Gallinula chloropus chloropus 	liejukana	Common Moorhen
Garrulus glandarius	Garrulus glandarius 	närhi	Eurasian Jay
Gavia adamsii	Gavia adamsii 	jääkuikka	White-billed Diver/Yellow-billed Loon
Gavia arctica	Gavia arctica arctica 	kuikka	Black-throated Diver/Arctic Loon
Gavia immer	Gavia immer 	amerikanjääkuikka	Common Loon/Great Northern Diver
Gavia stellata	Gavia stellata 	kaakkuri	Red-throated Diver/Red-throated Loon
Glareola nordmanni	Glareola nordmanni 	aropääskykahlaaja	Black-winged Pratincole
Glareola pratincola	Glareola pratincola pratincola 	pääskykahlaaja	Collared Pratincole
Glaucidium passerinum	Glaucidium passerinum 	varpuspöllö	Eurasian Pygmy Owl
Grus grus	Grus grus grus 	kurki	Common Crane
Gypaetus barbatus	Gypaetus barbatus 	partakorppikotka	Bearded Vulture/Lammergeier
Gyps fulvus	Gyps fulvus 	hanhikorppikotka	Eurasian Griffon
Haematopus ostralegus	Haematopus ostralegus 	meriharakka	Eurasian Oystercatcher
